абажур,"Колпак для лампы, светильника"
аз,"1) Старинное название буквы ""а""
2) Начальные сведения"
азарт,"Сильное возбуждение, задор, увлечение"
азбука,"1) Основные, простейшие начала какой-нибудь науки, дела
2) Совокупность букв, принятых в данной письменности, распологаемых в установленном порядке, буквенный алфавит
3) Obs синоним слова букварь"
азиаты,Коренные жители азии
азот,"Химический элемент, газ без цвета и запаха, главная составная часть воздуха, входящий также в состав белков и нуклеиновых кислот"
аист,Крупная перелетная птица с длинным прямым клювом из отряда голенастых
ай,"И ай-ай-ай ай-ай--й усиливает слово, к которому примыкает одно или вместе с местоименными словами ""как"", ""какой"" colloq. +"
айва,"1) Южное дерево семейства разноцветных с твердыми ароматными плодами, похожими по форме на яблоко или грушу
2) Южное плод его"
айда,Употр. для обозначения быстрого отправления куда-нибудь
айсберг,Отколовшийся от ледника дрейфующий ледяной массив с глубоко погруженной подводной частью
академизм,Академическое (опред. 2/4) отношение к чему-нибудь
академик,"Член академии (опред. 1,) а также звание члена академии"
академический,"1) Учебный (в применении к высшим учебным заведениям)
2) Чисто теоретический, не имеющий практического значения
3) В составе названий театров, оркестров, хоров, ансамблей: высшей квалификации, образцовый
4) От слова академия"
академия,"1) Высшее научное или художественное учреждение
2) Название некоторых высших учебных заведений"
акафист,Род хвалебного церковного песнопения
аква...,Первая часть сложных слов со знач. относящийся к воде
аквалангист,"Спортсмен, плавающий с аквалангом"
акванавт,"Исследователь, совершающий в специальном аппарате плавание под водой на больших глубинах"
акварель,"1) Прозрачные, обычно клеевые краски, разводимые на воде
2) Картина, написанная такими красками"
аквариум,"Небольшое здание, помещение с прозрачными стенами"
акведук,"Мостовое сооружение с каналом (или трубопроводом) для подачи воды через овраг, реку"
акклиматизироваться,"Приспособиться (приспособляться) к новой среде, к новому климату"
аккомпанемент,Музыкальное сопровождение
аккомпанировать,Исполнять аккомпанемент
аккордеон,Разновидность большой гармоники с клавиатурой фортепьянного типа для правой руки
аккордный,"Сдельный, выполняемый по договору"
аккредитовать,"Назначить (-чать), направить (-влять) кого-нибудь представителем (при иностранном п равительстве, посольстве, в международной организации, пресс-центре)"
аккурат,"Как раз, точно"
аккуратный,"1) Осторожно, бережно (прост)
2) Исполнительный, соблюдающий во всем порядок
3) Точно, регулярно
4) Тщательй, выполненный старательно и точно"
акмеист,Последователь акмеизма
акриды,
акробат,"А также вообще спортсмен, занимающийся акробатикой"
акробатика,"1) Цирковая гимнастика
2) Вид спорта"
акростих,Стихотворение в котором начальные буквы строк составляют какое-нибудь слово или фразу
акселерация,Ускорение роста и полового созревания у детей и подростков по сравнению с предшествующими поколениями
аксессуар,"1) Частность, подробность, сопровождающая что-нибудь главное
2) Мелкий предмет, деталь сценической обстановки
3) Принадлежность чего-либо, сопутствующий чему-либо предмет"
аксиома,"Исходное положение, принимаемое без доказательств и лежащее в основе доказательств истинности других положений"
