абажур,"Колпак для лампы, светильника"
подтелок,Годовалый теленок
подтереть,"1) Вытереть насухо
2) Вытереть снизу"
подтирка,"1) От слова подтереть
2) То, чем подтирают, подтираются"
подтолкнуть,"1) Толкнув, пододвинуть, приблизить к чему-нибудь
2) Побудить к каким-нибудь действиям; поторопить"
подтопка,"1) Синоним слова растопка (второе определение)
2) От слова подтопить"
подточить,"1) 3! ослабить, привести в упадок
2) Наточить немного"
подтыкать,От слова подоткнуть
подтянутый,"Внешне аккуратный, внутренне дисциплинированный"
подтянуть,"1) Подтащить приблизить
2) Присоединиться к поющему (поющим), негромко подпевая
3) Сделать дисциплинированнее, работоспособнее
4) Сосредоточивая, приблизить, подвести куда-нибудь"
подтянуться,"1) Упираясь, держась, подняться
2) Стать дисциплинированнее, работоспособнее
3) Сосредоточиваясь, приблизиться, подойти куда-нибудь"
подумать,"1) Colloq. выражает удивление и оценку +
2) От слова думать
3) Провести некоторое время, думая о чем-нибудь"
подумывать,"1) От времени до времени думать о чем-нибудь предстоящем
2) Намереваться сделать что-нибудь"
подусники,"Волосы по углам губ, под усами"
подуть,Дуть (опред. 1/2) некоторое время
подучить,Научить немного чему-нибудь или выучить несколько лучше
подушечка,"1) От слова подушка
2) Карамель, по форме напоминающая подушку"
подушить,"1 задушить, убить многих"
подушка,"Зашитый со всех сторон чехол, набитый пухом (перьями, волосом, ватой), для подкладывания под голову, для сидения"
подфарник,Небольшой вспомогательный фонврь на автомашине
подхалим,"Льстец, угодничающий перед кем-нибудь ради своих корыстных целей, выгоды"
подхалимничать,Вести себя подхалимом
подхватить,"1) Поддержать, расширяя и углубляя какое-нибудь достижение
2) Начать петь вслед за кем-нибудь, вместе с кем-нибудь, сразу, громко
3) Сразу или неожиданно получить, приобрести
4) Воспользоваться чем-нибудь сделанным, пущенным в ход другим, продолжить начатое другим"
подхихикивать,Насмехаться из под тишка
подход,"1) Совокупность приемов, способов (в воздействии на кого-что-нибудь, в изучении чего-нибудь, в ведении дела)
2) От слова подойти
3) Место, где подходят к чему-нибудь"
подходящий,"Соответствующий чему-нибудь, такой, какой нужно, приемлемый"
подхорунжий,"Звание, равное подпрапорщику, а также в казачьих войсках царской армии: лицо, имеющее это звание"
подцепить,"1) Синоним слова прицепить (первое определение)
2) Синоним слова подхватить (третье определение)"
подчас,"Иногда, в отдельные промежутки времени"
подчеркнуть,"1) Провести черту под чем-нибудь
2) Особо выделить, обращая внимание на что-нибудь"
подчинение,"От слова подчинить, ся"
подчинить,"1) Поставить под непосредственное руководство, передать в чье-нибудь непосредственное ведение
2) В грамматике: соединить (словоформы или предложения) на основе грамматической неравноправности
3) Поставить в зависимость от кого-чего-нибудь, заставить действовать сообразно чему-нибудь"
подчистить,"1) (написанное) соскоблить, стереть
2) Дополнительно очистить
3) Слегка очистить; вычистить
4) Исрасходовать или съесть все, полностью"
подшерсток,У животных: нижний мягкий слой шерсти под остью
подшибить,"1) Ударив, заставить упасть
2) Синоним слова подбить 1 (четвертое определение)"
подшивка,"1) Пачка подшитых газет, документов
2) От слова подшить"
подшить,"1) Зашить, подогнув узкой полоской край чего-нибудь, подрубить 2
2) Пришить что-нибудь или к чему-нибудь с изнанки, снизу
3) Пришив, присоединить, прикрепить"
подшофе,Синоним слова навеселе
подштанники,Синоним слова кальсоны
подшутить,"Сделать кого-что-нибудь предметом шутки, забавы"
подъедать,От слова подъесть
подъезд,"1) От слова подъехать
2) Место, по которому подъезжают к чему-нибудь"
подъем,"1) Прекращение сна, отдыха (обычно применительно к целой группе, отряду)
2) Развитие, движение вперед
3) Возбуждение, воодушевление
4) Выпуклая часть ноги от пальцев к щиколотке, над ступней
5) Место в пути где дорога поднимается кверху
6) От слова поднять, -ся"
подъемный,"1) От слова поднять, -ся и подъем
2) Служащий для подъема, перемещений вверх
3) Выдаваемый для расходов на переезд к новому месту работы
4) Такой который можно поднять"
подъесаул,"Казачий офицерский чин, равный штабс-капитану, а также в царской армии: лицо, имеющее этот чин"
подъесть,"Съесть снизу, нижнюю часть чего-нибудь"
подъехать,"1) Выбрав удобный момент, обратиться к кому-нибудь с просьбой, вопросом, предложением
2) Приблизиться, передвигаться на чем-нибудь
3) Передвигаться на чем-нибудь, попасть куда-нибудь, подо что-нибудь"
подъяремный,"Находящийся в порабощении у кого-нибудь, под ярмом"
подыграть,"1) Подделаться под чьи-нибудь интересы, настроение
2) Негромко сыграть, аккомпонируя кому-нибудь"
подымать,Синоним слова поднимать
подыскать,"Найти то (того), что (кто) подходит для чего-нибудь, соответствует потребностям"
подыхать,"1) Умирать (о животных; о человеке - прост. пренебр.), дохнуть
2) (о животных) умирать, дохнуть
3) Прост. пренебр. (о человеке) умирать, дохнуть"
подьячий,"На руси 16-начала 18 в.: помощник дьяка, канцелярист"
поединок,"1) Вообще борьба двух просивников, соперников
2) В дворянском обществе: способ защиты личной чести - вооруженная борьба двух противников по вызову одного из них, в присутствии секундантов, дуэль"
поежиться,Слегка съежиться
поезд,"Состав сцепленных железнодорожных вагонов, приводимых в движение локомотивном или моторном вагоном"
поездка,Путешествие (обычно короткое); пребывание в езде
поемный,Заливаемый в половодье
поесть,"1) От слова есть 1
2) Съесть без остатка
3) Съест немного"
поехать,"1) 3! синоним слова спуститься (третье определение)
2) Отправиться в путь, направиться куда-нибудь на чем-нибудь
3) Сдвинувшись, заскользить, покатиться"
пожалеть,От слова жалеть
пожаловать,"1) Синоним слова пожалуйста (второе определение)
2) От слова жаловать"
пожалуй,"1) Выражает допущение какой-нибудь возможности, склонность согласиться. +
2) Выражает неуверенное согласие. +"
пожалуйста,"Colloq. выражает неожиданность наступления, появления чего-нибудь (обычно с оттенком неодобрения) +"
пожар,Poet употр. в некоторых выражениях употр. для обозначения бурно развивающихся событий большого общественного значения
пожарник,Синоним слова пожарный (третье определение)
пожарный,"1) От слова пожар
2) Работник пожарной охраны, боец пожарной команды"
пожать,"1) 2 сжать 2, срезать под корень
2) 2 poet добыть, получить, заслужить что-нибудь"
пождать,Провести некоторое время в ожидании
пожелание,"1) Приветствие кому-нибудь, выражающее желание, чтобы осуществилось что-нибудь хорошее
2) Мнение о желательности осуществления чего-нибудь"
пожелтелый,Ставший желтым
поженить,"Соединить браком, устроить чей-нибудь брак"
пожертвование,"1) То, что пожертвовано, дар
2) От слова жертвовать"
пожечь,Сжечь все или многое
поживать,Синоним слова жить (опред. 3/4/6)
пожизненный,До конца жизни
пожимать,От слова пожать 1
пожинать,От слова пожать2
пожирать,"1) От слова пожрать
2) Уничтожать полностью"
пожить,Прожить какое-нибудь время
пожня,"Regio жнивье, а также луг"
пожрать,Синоним слова поесть (второе определение)
пожухнуть,От слова жухнуть
поза,Положение тела
позабавить,"Доставить забаву, развлечь"
позаботиться,От слова заботиться
позавидовать,От слова завидовать
позавчера,"Накануне вчерашнего дня, третьего дня"
позади,"1) Синоним слова сзади (первое определение)
2) На расстоянии и с задней стороны от кого-чего-нибудь, сзади кого-чего-нибудь"
позаимствоваться,От слова заимствоваться
позарез,"(о необходимом) очень, крайне"
позвать,От слова звать
позволение,От слова позволить
позволить,"1) Употр. как вводн. сл. употр. со знач. возражения, несогласия или припоминания. +
2) Синоним слова разреши(те) (<= разрешить (опред. 4/5))
3) Дать возможность, допустить
4) Синоним слова разрешить (первое определение)"
позвониться,От слова звониться
позвоночник,"У человека и позвоночных животных: скелетная ось, образуемая цепью костей (или хрящей), идущих вдоль спины и заключающий в себя (в позвоночном канале) спинной мозг"
поздне...,Первая часть сложных слов со знач. поздний (третье определение)
позднее,"1) Синоним слова позже (третье определение)
2) Синоним слова позже (четвертое определение)"
поздний,"1) Наступающий, приходящий после обычного или нужного времени, запоздалый
2) Принадлежащий, относящийся кпоследней, заключительной поре чего-нибудь, приближающийся к исходу
3) Бывающий, появляющийся после других"
поздно,"После обычного, установленного или нужного времени"
поздороветь,От слова здороветь
поздравитель,"Тот, кто поздравляет кого-нибудь, приходит с поздравлением"
позеленелый,"Ставший зеленым, зеленоватым"
позеленить,От слова зеленить
поземка,"Метель без снегопада, поднимающая снег с поверхности земли"
позерство,Поведение позера
позже,"1) В более позднее время
2) После, вслед за кем-чем-нибудь"
позировать,"Приняв определенную позу, служить предметом изображения художнику, фотографу"
позитивизм,"Направление в буржуазной философии, утверждающее, что единственным источником п одлинного знания являются специальные науки, и отрицающее философию как особую отрасль знаний"
позитивный,"1) Синоним слова положительный (опред. 1/2)
2) От слова позитив
3) Obs основанный на фактах, на опыте"
позиция,"1) Положение, расположение
2) Точка зрения, мнение в каком-нибудь вопросе
3) Положение тела, поза
4) Полоса, участок местности или акватории, занимаемые для подготовки и ведения боя"
познабливать,"Слегка, время от времени знобить"
познавательный,"1) Способствующий познанию, расширению знаний
2) От слова познать"
познакомить,От слова знакомить
познание,"1) Приобретение знания, постижение закономерностей объективного мира
2) Совокупность знаний в какой-нибудь области
3) От слова познать"
познать,"Испытать, пережить"
позолотить,От слова золотить
позорить,Синоним слова порочить
позорный,"Являющийся позором, постыдный"
позыв,"1) Ощущение какой-нибудь физиологической потребности
2) Obs желание, стремление"
позывной,"1) Специальные сигналы для опознания радиостанции, судна, воинской части
2) Служащий для привлечения внимания, призывающий"
поилец,
поилка,"Специальная посуда, приспособление для поения скота и птицы"
поименный,Содержащий перечень имен; производимый по именам
поиметь,
поимущественный,Взимаемый с имущества
поиск,"1) Способ разведки (второе определение) - скрытный подход к противнику и внезапное нападение на него
2) Разведочные работы по обнаружению чего-нибудь
3) Действие ищущего, розыски кого-чего-нибудь"
поискать,Выражение высокой положительной или крайней отрицательной оценки кого-чего-нибудь
поистине,"Действительно, в самом деле"
поить,Давать пить
пойма,"Низкое место, заливаемое во время половодья"
пойнтер,Короткошерстная крупная легавая собака
пойти,"1) Начать идти (в соответствии со всеми значениями глагола ""идти"", кроме 26)
2) Получиться, выйти (седьмое определение)
3) Начать делать что-нибудь, начать осуществляться"
пока,"1) В течение того времени как
2) Приветствие при прощании, до свидания"
показание,"1) Ответ на допросе
2) Свидетельство, рассказ
3) Величина чего-нибудь, показываемая измерительным прибором"
показатель,"Данные, по к-рым можно судить о развитии и ходе чего-нибудь"
показательный,"1) Устроенный для всеобщего ознакомления, сведения
2) Дающий возможность судить о чем-нибудь"
показать,"1) Дать показание (второе определение)
2) Рекомендуется, полезен
3) Обнаружить, проявить
4) 3! об измерительных приборах: обнаружить, отметить
5) Дать увидеть с целью просмотра, обозрения, ознакомления
6) Дать показания (второе определение) против кого-нибудь
7) Проучить кого-нибудь, дать понять, почувствовать комун. что-нибудь
8) Дать возможность увидеть кого-что-нибудь, убедиться в чем-нибудь, научиться чему-нибудь"
показаться,"1) Появиться, стать доступным взору
2) От слова казаться
3) Прийти куда-нибудь, появиться где-нибудь
4) Понравиться, приглянуться"
показной,Показываемый образец
покалечить,От слова калечить
покалывать,Изредка и слегка колоть
покамест,Синоним слова пока (опред. 1/2)
покапризичать,От слова капризничать
покапываться,От слова подкопаться
покатать,"1) Повозить, прокатить немного
2) Провести некоторое время, катая что-нибудь"
покатить,"1) Заставить катиться
2) Быстро поехать, отправиться куда-нибудь"
покатиться,"На спуске упасть, крутясь; вообще упасть резко, сразу"
покатость,Покатая поверхность
покатый,Наклонный; округленный
покачать,"Провести некоторое время, качая кого-что-нибудь"
покачивась,Слегка качать
покачнуть,Слегка качнуть
покачнуться,"3! ухудшиться, испортиться"
покашлять,Кашлянуть несколько раз; провести некоторое время кашляя
покаяние,"Добровольное признание в совершенном проступке, в ошибке"
покаяться,От слова каяться
покивать,Кивнуть несколько раз
покидать,2 от слова покинуть
покинуть,"Перестать жить, находиться где-нибудь"
покладистый,"Сговорчивый, уступчивый"
поклевать,"1) Склевать все
2) Склевать немного
3) Провести некоторое время клюя"
поклеп,Ложное обвинение
поклон,"1) Наклонение головы ии верхней части туловища в знак приветствия, благодарности, покорности
2) Пожелание благополучия, привет
3) Приветствие наклоннием головы"
поклониться,От слова кланяться
поклонник,"1) Влюбленный в кого-нибудь человек
2) Человек, который поклоняется (второе определение) кому-чему-нибудь, почитатель"
поклоняться,"1) Веровать как в божество, в святыню
2) От слова поклониться"
поковка,"Заготовка, обработанный ковкой или горячим штампованием кусок металла"
покоить,"Окружать покоем, заботой, попечением"
покоиться,"1) 3! иметь основанием что-нибудь, прочно основываться на чем-нибудь
2) 3! находиться в состоянии покоя"
покой,"1) 1 состояние относительной неподвижности отсутствия движения spec. 2 состояние тишины, отдыха, бездеятельности, отсутствие беспокойства
2) 2 старинное название буквы ""п""
3) 3 от слова покой"
покойник,"Умерший, мертвый человек, мертвец"
покойный,"1) 1 синоним слова спокойный
2) 2 умерший (обычно как лицо, о котором вспоминают, упоминают)"
поколебаться,"1) Пробыть некоторое время в колебаниях
2) От слова колебаться"
поколение,"1) Одновременно живущие люди (особи) близкого возраста
2) Серия (приборов, механизмов) в ее отношении к предшествующим или по следующим сериям
3) Группа людей, близких по возрасту, объединенных общей деятельностью"
поколотиться,От слова колотиться
покончить,"Доведя до конца какое-нибудь дело, отношения с кем-нибудь, освободиться от кого-чего-нибудь"
покорежиться,От слова корежиться
покорить,"1) Подчинить своей власти, завоевать
2) Внушить кому-нибудь доверие, любовь к себе, добиться признания"
покориться,"Примириться с чем-нибудь, отказавшись от сопротивления чему-нибудь"
покормиться,От слова кормиться
покорный,"Послушный, уступчивый"
покоробиться,От слова коробиться
покорять,От слова покорить
покос,"1) От слова косить 2
2) Место косьбы
3) Время косьбы"
покража,"1) Obs украденная вещь (вещи)
2) От слова красть"
покрапывать,"О дожде: слегка, с перерывами крапать"
покраситься,От слова краситься
покраснелый,Ставший красным
покрасоваться,От слова красоваться
покрепчать,От слова крепчать
покривиться,От слова кривиться
покритиковать,Высказать критические замечания о ком-чем-нибудь
покров,"1) Obs синоним слова покрывало
2) Верхний наружный слой, покрывающий что-нибудь"
покровительственный,"1) Оказывающий покровительство, поощрение чему-нибудь, создающий благоприятные условия для какой-нибудь деятельности
2) Выражающий покровительство, самоуверенно-снисходительный"
покровительство,"Защита, заступничество, оказываемое кому-нибудь"
покрой,"Вид, паридаваемый одежде тем или иным способом кройки фасон"
покруглеть,От слова круглеть
покрывало,"Ткань, которой покрыто, покрывается что-нибудь"
покрывать,От слова покрыть
покрытие,"1) Материал, состав, которым что-нибудь покрыто
2) От слова покрыть"
покрыть,"1) Помочь укрыть, скрыть, не выдав чей-нибудь проступок, преступление
2) Передвигаясь, преодолеть какое-нибудь расстояние
3) О звуках: заглушить, превзойдя в силе
4) Заполнить, усеять чем-нибудь по поверхности
5) От слова крыть
6) Возместить чем-нибудь
7) Положить, наложить сверху на кого-что-нибудь"
покрыться,Накрыть себя чем-нибудь
покрышка,"1) Чехол из толстой резины, надеваемый на камеру велосипеда, автомобиля
2) Чехол кожаный чехол, надеваемый на резиновую камеру мяча"
покумекать,"Подумать, поразмыслить"
покупатель,"Тот, кто покупает что-нибудь"
покупать,"1) 1 немного подержать в воде, купая
2) 2 от слова купить"
покупка,"1) От слова купить
2) Купленная, покупаемая вещь"
покупочный,От слова купить
покуражиться,От слова куражиться
покурить,Провести некоторое время куря
покусать,"1) Укусить или куснуть несколько раз
2) От слова кусать"
покуситься,"Попытаться сделать что-нибудь (недозволенное, незаконное) или завладеть, распорядиться чем-нибудь, лишить чего-нибудь"
покушать,"1) От слова кушать
2) Вежливом приглашении к еде, поесть немного
3) Поесть немного (употр. при вежливом приглашении к еде, а также употр. по отношению к детям. поесть немного"
покушение,От слова покуситься
пол,"2 каждый из двух генетически и физиологически противопоставленных разрядов живых существ (мужчин и женщин, самцов и самок), организмов"
пол-литра,"1) Емкость в 500 куб. см
2) Емкость в 500 куб. см, а также количество жидкости такого объема"
пол...,"1) Первая часть сложных слов второй частью которых является род. п. порядк. числит. употребляемая при указании получаса в знач. половина
2) Первая часть сложных слов второй частью которых является род. п. сущ. у неодушевл. сущ. способная принимать в косв. падежах форму ""полу..."", напр. полчаса, в получасе ходьбы; полведра, обойтись полуведром воды; полминуты, по истечении полуминуты; полгода, в течение полугода [перед второй частью - собственным именем, а также перед ""л"" и перед гласной пишется через дефис, напр. пол-москвы, пол-листа, пол-литра, пол-очка, пол-аршина]. употребляемая в знач. половина"
пола,Нижняя часть раскрывающейся спереди одежды
полагать,"1) 1 poet в сочетании с сущ. ""начало"", ""конец"", ""основание"" и некоторыми др.: синоним слова класть (шестое определение)
2) 2 считать, думать"
полагаться,От слова положиться
полакомить,От слова лакомить
полати,"В избе: нары для спанья, устраиваемые под потолкоммежду печью и стеной"
полба,"Злак, особый вид пшеницы с ломким колосом"
полвека,Половина века
полгоря,Синоним слова полбеды
полдень,(устар. высок.). синоним слова юг (первое определение)
полдник,"Пища, приготовленная для такой еды"
полдороги,"Половина дороги, пути"
поле,"1) Работа, исследовательская деятельность в природных, естественных условиях
2) Область деятельности, поприще
3) Обрабатываемая под посев земля, участок земли
4) Чистая полоса вдоль края листа в книге, тетради, рукописи
5) Край шляпы, отходящей в сторону или вниз от тульи
6) Основной цвет, фон под узором
7) Безлесная равнина, пространство
8) Большая ровная площадка, пространство, специально оборудованное, предназначенное для чего-нибудь"
полевка,"Грызун, похожий на мышь"
полеводство,"1) Разведение полевых сельскохозяйственных культур
2) Разведение полевых сельскохозяйственных культур, а также наука о полевых культурах"
полевой,"Относящийся к боевым действиям, походный"
полеглый,"Пригнувшийся к земле, полегший"
полегчать,От слова легчать
полеживать,"Немного, по временам лежать"
полезащитный,"Предохраняющий обрабатываемые поля от засухи, суховея"
полезный,Приносящий пользу
полемизировать,Вести полемику
полемист,"Человек, искуссный в полемике"
полемический,Синоним слова полемичный
полениваться,"Немного, слегка лениться"
поленница,"Дрова, уложенные друг на друга правильными рядами"
полесье,Низменная лесистая местность
полетать,Пробыть некоторое время в полете
полететь,Начать лететь (опред. 1/2/4/5)
полечь,"1) (о злаках) пригнуться стеблем к земле
2) (о многих) погибнуть, быть убитым"
ползать,"Синоним слова ползти (опред. 1/2,) но обозначает действие, совершающееся не в о дно время, не за один прием или не в одном направлении"
ползти,"1) 3! (о ткани) распадаться на нити от ветхости, лезть
2) 3! расти, прилегая к поверхности, цепляясь за нее
3) О человеке, животном: передвигаться, припадая туловищем к поверхности и перебирая по ней конечностями
4) Неспешно передвигаться, перемещаться
5) 3! оползать, осып-ться
6) 3! медленно сдвигаться, съезжать (четвертое определение)
7) Идти, передвигаться очень медленно
8) 3! о полужидкой массе: течь, вытекать откуда-нибудь
9) 3! распространяться, передаваться
10) 3! передвигаться по поверхности всем телом (о пресмыкающихся) или на ножках (о насекомых)
11) 3! (о пресмыкающихся) передвигаться по поверхности всем телом
12) 3! или: передвигаться по поверхности всем телом (о пресмыкающихся) (о насекомых) передвигаться на ножках"
ползун,"Тот, кто ползет или ползает"
ползунок,"Ребенок (или детеныш), который еще не умеет ходить, а только ползает"
ползучий,"Ползающий, передвигающийся ползком"
поли...,"Первая часть сложных слов со знач. сложный по составу, устройству"
полива,"Жидкий состав для обмазки гончарных изделий, глазурь"
поливать,От слова полить
поливитамины,"Препарат, содержащий комплекс витаминов"
поливной,"1) О земледелии: основанный на искуссственном орошении полей
2) Нуждающийся в поливке, поливемый"
полигамия,"1) Форма брака у некоторых племен и народов, при которой мужчина может иметь несколько жен, групповой брак, многобрачие
2) Спаривание самца с несколькими самками или самки с несколькими самцами"
полигон,"1) Место научных и других испытаний, проб
2) Большой, специально оборудованный участок суши или моря для испытаний различ ных видов оружия, военной техники, для боевых учений"
полиграфия,"Отрасль техники, промышленность, занятая производством печатной продукции; совокупность соответствующих технических средств"
полиловеть,От слова лиловеть
полинять,От слова линять
полип,"1) Морское непередвигающееся животное
2) Болезненное образование (разрастание) из эпителия слизистой оболочки"
полис,Документ о страховании
полит...,"1) Первая часть сложных слов со знач. относящийся к политике (первое определение)
2) Первая часть сложных слов со знач. относящийся к политике (второе определение)"
политдень,"День, в который проводится политическое занятие в производственном коллективе"
политехникум,Среднее политехническое учебное заведение
политехнический,Основанный на разностороннем знакомстве с техникой
политика,"1) Вопросы и события общественной, государственной жизни
2) Образ действий, направленных на достижение чего-нибудь, определяющих отношения с людьми
3) Деятельность органов государственной власти и государственного управления, о тражающая общественный строй и экономическую структуры страны
4) Деятельность органов государственной власти и государственного управления, о тражающая общественный строй и экономическую структуры страны, а также деятельность общественных классов, партий и других классовых организаций, общественных группировок, определяемая их интересами и целями"
политикан,А также вообще ловкий и беспринципный делец
политический,"1) От слова политика
2) Государственно-правовой
3) Тактичный и ловкий, умелый в обращении, дипломатичный"
политолог,Специалист по политологии
политрук,"Сокращение: политический руководитель - в подразделениях войсковых частей красной армии (до 1942 г.): лицо военно-политического состава, руководящее политической работой"
полить,"1) 3! начать лить 1 (второе определение)
2) Смочить, оросить"
политься,3! начать литься
полицай,"Во время великой отечественной войны во временно оккупированных районах: предатель из местного населения, служащий в фашистской полиции"
полицейский,"1) Служащий полиции
2) От слова полиция"
полиция,"Лица, служащие в этом органе"
полишинель,"Комическое действующее лицо французского народного кукольного театра, шут, паяц"
полк,"Множество, толпа"
полка,"1) 1 место для лежания в железнодорожном вагоне
2) 2 от слова полоть"
полковник,"1) Офицерское звание или чин рангом выше подполковника и ниже генерал-майора
2) Офицерское звание или чин рангом выше подполковника и ниже генерал-майора, а также лицо, имеющее это звание"
поллитровка,Синоним слова пол-литра (второе определение)
полметра,Половина метра
полнеть,"Становиться полным, полнее (пятое определение) толще"
полниться,Синоним слова наполняться
полно(те).,Синоним слова довольно (четвертое определение)
полно...,Первая часть сложных слов со знач. полностью
полновесный,"1) Имеющий полный, нормальный вес
2) Значительный, внушающий доверие"
полновластный,Обладающий полнотой власти
полноводье,"Высокий уровень воды в реке, водоеме"
полнозвучный,Обладающий полнотой звучания
полнокровный,"1) Деятельный, жизнерадостный
2) Obs отличающийся полнокровием"
полнометражный,О фильме: достаточный по метражу для показа в течение одного сеанса нормальной продолжительности короткометражный
полномочный,Обладающий полномочиями
полноправный,"1) Синоним слова равноправный
2) Обладающий полноправием"
полностью,"1) До конца, сполна
2) Совершенно, вполне"
полнота,"1) Единица измерения внутри одного размера (одежды, обуви)
2) Наличие чего-нибудь в достаточнойстепени, высшая степень насыщенности чем-нибудь"
полноценный,"1) Полностью соответствующий требованиям
2) Имеющий полную, установенную ценность"
полночь,(устар. высок.). синоним слова север (первое определение)
полный,"1) Достигающий предела, наивысший
2) Цельный, вполне законченный; исчерпывающий
3) Содержащий в себе что-нибудь до возможных пределов, наполненный, занятый чем-нибудь целиком
4) Целиком проникнутый охваченный чем-нибудь"
